"brands","company","product","price","brief","newest time","oldest time","if Kontakt"
"Best Service","Best Service","Accordions 2","$199.00","The biggest virtual Accordion collection available","2017","2010","1"
"Best Service","Best Service","Engine Artists Library","$0.00","Your free entry into the world of the Best Service Engine 2","no reviews","no reviews","0"
"Best Service","Best Service","The Orchestra","$399.00","The power of a full orchestra at the tip of your fingers","2017","2017","1"
"Best Service","Best Service","Ancient ERA Persia","$259.00","Soundcollection from forgotten places of the middle east","2017","2017","0"
"Best Service","Best Service","Chris Hein Solo Violin","$259.00","Two fantastic sounding Solo Violin Instruments","2016","2016","1"
"Best Service","Best Service","Ethno World 6 Complete","$449.00","Ethnic instruments and voices from all over the world","2017","2010","1"
"Best Service","Best Service","Ethno World 6 Instruments","$259.00","Ethnic Instruments from all over the world","no reviews","no reviews","1"
"Best Service","Best Service","Ethno World 6 Voices","$259.00","Ethnic Voices from all over the World","no reviews","no reviews","1"
"Best Service","Best Service","Chris Hein Solo ContraBass","$179.00","Simply the best virtual Solo Contrabass ever created!","2017","2017","1"
"Best Service","Best Service","Era II Vocal Codex","$159.00","Eduardo Tarilonte Vocal Codex – Voices of the past","2017","2016","0"
"Best Service","Best Service","Era II Vocal Codex Crossgrade","$99.00","ERA II Vocal Codex as Crossgrade for registered ERA II users","no reviews","no reviews","0"
"Best Service","Best Service","Chris Hein Solo Cello","$259.00","Two fantastic sounding Solo Cello instruments","2017","2017","1"
"Best Service","Best Service","Chris Hein Solo Strings Complete","$599.00","Collection of virtual Solo Strings by Chris Hein","2017","2017","1"
"Best Service","Best Service","Chris Hein Solo Viola","$179.00","Quite simply the best virtual Viola ever created","2017","2017","1"
"Best Service","Best Service","Klanghaus Bio Machine","$99.00","Self-built instruments meet sound design","2016","2016","0"
"Best Service","Best Service","KWAYA","$259.00","African Choir library with 4 male and 2 female solo voices","2017","2016","1"
"Best Service","Best Service","Alpine Volksmusik","$199.00","The first virtual Volksmusik Kapelle!","2016","2016","0"
"Best Service","Best Service","Emotional Cello","$259.00","Virtual Cello for classic and cinematic use","2016","2015","1"
"Best Service","Best Service","Ancient ERA Persia Upgrade","$159.00","Upgrade for registered users of Desert Winds","no reviews","no reviews","0"
"Best Service","Best Service","Ethno World 6 Complete Upgrade","$159.00","For users of Ethno World 4 or 5 Professional","no reviews","no reviews","1"
"Best Service","Best Service","Ethno World 6 Instruments Upgrade","$99.00","For users of Ethno World 5 Instruments or EW 4 Complete","no reviews","no reviews","1"
"Best Service","Best Service","Ethno World 6 Voices Upgrade","$79.00","For Users of Ethno World 5 Voices & Choirs or EW 4 Complete","no reviews","no reviews","1"
"Best Service","Best Service","Chris Hein Solo Strings Complete Upgrade 2","$299.00","Upgrade Solo Violin & Viola to CH Solo Strings Complete","no reviews","no reviews","1"
"Best Service","Best Service","Chris Hein Solo Strings Complete Upgrade Viola","$449.00","Upgrade from CH Solo Viola to CH Solo Strings Complete","no reviews","no reviews","1"
"Best Service","Best Service","Chris Hein Solo Strings Complete Upgrade Violin","$449.00","Upgrade from CH Solo Violin to CH Solo Strings Complete","no reviews","no reviews","1"
"Best Service","Best Service","Chris Hein Orchestral Brass Compact","$169.00","The light version of Chris Hein - Orchestral Brass","2016","2016","1"
"Best Service","Best Service","Chris Hein Orchestral Brass Complete","$299.00","Collection of 9 orchestral Brass instruments and 3 Ensembles","2016","2016","1"
"Best Service","Best Service","Chris Hein Winds Compact","$179.00","The light version of Chris Hein - Orchestral Woodwinds","2016","2016","1"
